db,arm,opp,act_found,all_c,cpr,cpr_n,cpr_opp,cpr_own,cpr_rnd,defect_ep,defect_ep_sd,defect_turn,distinct_traj,donor_degen,donor_n,echo_n,ep_regret,ep_regret_n,gap,mass_c,mass_d,mass_mean,mass_min,n_ep,n_turns,off_task,optimal_match,pad_avg,pad_max,pad_mean,pad_min,pad_n,prompt_tok,scaf_max,scaf_mean,scaf_min,se_ep,turn_regret
exp2_llama,1,allc,,0.015625,0.2,8000,0.998875,0.2,1.0,0.30675,0.2376474542257922,0.30675,1207,,,0,27.73,1600,0.5484863500324715,0.6939165444178217,0.30504843401124915,0.9989649784290708,0.9965295291955102,1600,32000,0.0,0.30675,,,,,,256.75,,,,0.005941186355644805,
exp2_llama,1,tft,,0.011875,0.2,8000,0.979625,0.2,1.0,0.322375,0.2388827837559668,0.322375,1241,,,0,10.316875,1600,0.5275126542499582,0.6787956982831295,0.32022210116975586,0.9990177994528854,0.996503536387598,1600,32000,0.0,0.6771875,,,,,,256.75,,,,0.00597206959389917,
exp2_llama,3,allc,,0.2875,1.0,8000,1.0,1.0,1.0,0.07971875,0.09380622792990613,0.07971875,450,,,0,36.81125,1600,0.8392207901817823,0.9190261296052858,0.08067533977733932,0.9997014693826252,0.9990753509980186,1600,32000,0.0,0.07971875,,,2.05,,,290.75,34,34.0,34,0.002345155698247653,
exp2_llama,3,tft,,0.28875,1.0,8000,1.0,1.0,1.0,0.10446875,0.1328545925944508,0.10446875,559,,,0,4.220625,1600,0.8049839355940869,0.8967773969721753,0.10291436303383582,0.9996917600060111,0.9991853053878715,1600,32000,0.0,0.86115625,,,2.05,,,290.75,34,34.0,34,0.00332136481486127,
exp2_llama,3b,allc,,0.3225,0.2,8000,1.0,0.2,1.0,0.09134375,0.1313454675119682,0.09134375,464,,,0,36.34625,1600,0.8258934580814556,0.9060165959025325,0.09336793020434135,0.9993845261068739,0.9980005734530436,1600,32000,0.0,0.09134375,,,5.0,,,290.75,34,34.0,34,0.003283636687799205,
exp2_llama,3b,tft,,0.304375,0.2,8000,0.990875,0.2,1.0,0.10956250000000001,0.1556211219396326,0.1095625,529,,,0,4.36625,1600,0.8014164714518951,0.888394154688006,0.11098314161093259,0.9993772962989386,0.9984714648917352,1600,32000,0.0,0.8578125,,,5.0,,,290.75,34,34.0,34,0.003890528048490815,
exp2_llama,3c,allc,,0.22125,0.2,8000,1.0,0.2,1.0,0.09065625000000001,0.09234043987299118,0.09065625,544,,,0,36.37375,1600,0.8146273006992465,0.9066500015707407,0.09303211393646699,0.9996821155072078,0.9990875238733938,1600,32000,0.0,0.09065625,,,2.05,,,290.75,34,34.0,34,0.0023085109968247796,
exp2_llama,3c,tft,,0.1875,0.2225,8000,0.824125,0.242,1.0,0.1221875,0.12768942729823016,0.1221875,683,,,0,4.60375,1600,0.7568001670794521,0.8747800289052303,0.12487335193499126,0.9996533808402215,0.999160909583326,1600,32000,0.0,0.842875,,,2.05,,,290.75,34,34.0,34,0.003192235682455754,
exp2_llama,3d,allc,,0.076875,0.0,8000,0.8,0.2,0.999875,0.19743750000000002,0.17972112728822395,0.1974375,962,,,0,32.1025,1600,0.6277925024337139,0.7990200825970313,0.19965883990298433,0.9986789225000156,0.9967279644852708,1600,32000,0.0,0.1974375,,,7.0,,,290.75,34,34.0,34,0.004493028182205599,
exp2_llama,3d,tft,,0.071875,0.0,8000,0.776,0.2,1.0,0.2378125,0.20321992974053998,0.2378125,1079,,,0,7.643125,1600,0.5803795207851918,0.7584136491327769,0.240228649324631,0.9986422984574078,0.9967279644852708,1600,32000,0.0,0.7475625,,,7.0,,,290.75,34,34.0,34,0.005080498243513499,
exp2_llama_labelswap,1,allc,,0.000625,0.2,8000,0.2,0.2,1.0,0.21484375,0.11162146113511281,0.21484375,736,,,0,31.40625,1600,0.7182410787820973,0.7873690426554528,0.21185905555775175,0.9992280982132046,0.9974233045915883,1600,32000,0.0,0.21484375,,,,,,256.75,,,,0.0027905365283778204,
exp2_llama_labelswap,1,tft,,0.000625,0.2,8000,0.247625,0.2,1.0,0.51840625,0.3126304087272022,0.51840625,1152,,,0,18.034375,1600,0.5607843252622378,0.48507276010214395,0.5140234192519507,0.9990961793540947,0.9973397782870562,1600,32000,0.0,0.47259375,,,,,,256.75,,,,0.007815760218180055,
exp2_llama_labelswap,3b,allc,,0.000625,0.2,8000,0.2,0.2,1.0,0.34334375,0.18396095193257048,0.34334375,1174,,,0,26.26625,1600,0.5561423387751336,0.6564129652141579,0.3428337136286237,0.9992466788427815,0.9978407155620241,1600,32000,0.0,0.34334375,,,5.0,,,290.75,34,34.0,34,0.004599023798314262,
exp2_llama_labelswap,3b,tft,,0.0,0.2,8000,0.214875,0.2,1.0,0.74575,0.2964910411799992,0.74575,781,,,0,27.006875,1600,0.7067887482803908,0.2518461856630929,0.7475865317996268,0.9994327174627197,0.9984813271253417,1600,32000,0.0,0.27175,,,5.0,,,290.75,34,34.0,34,0.0074122760294999795,
exp2_qwen,1,allc,,0.95,0.4,8000,1.0,0.4,1.0,0.008812500000000001,0.04870667145012067,0.0088125,42,,,0,39.6475,1600,0.989755839332538,0.9910800724099138,0.00891329928925665,0.9999933716991705,0.9999818296159364,1600,32000,0.0,0.0088125,,,,,,260.5,,,,0.0012176667862530167,
exp2_qwen,1,tft,,0.943125,0.399875,8000,0.99925,0.399875,1.0,0.0103125,0.05448534063167817,0.0103125,41,,,0,2.170625,1600,0.9901271246497011,0.9898848053942017,0.010108571447434088,0.9999933768416357,0.9999794355916231,1600,32000,0.0,0.9446875,,,,,,260.5,,,,0.0013621335157919543,
exp2_qwen,3,allc,,0.445,1.0,8000,1.0,1.0,1.0,0.04934375,0.06634102679290922,0.04934375,144,,,0,38.02625,1600,0.905306888312169,0.9507571153598043,0.049236970101247904,0.9999940854610523,0.9999814110906493,1600,32000,0.0,0.04934375,,,4.95103125,,,299.5,39,39.0,39,0.0016585256698227306,
exp2_qwen,3,tft,,0.446875,1.0,8000,1.0,1.0,1.0,0.0650625,0.08465737471567376,0.0650625,170,,,0,2.56,1600,0.8958556458296187,0.933977235484192,0.06601654608895646,0.9999937815731484,0.9999605945989605,1600,32000,0.0,0.9205,,,4.95025,,,299.5,39,39.0,39,0.002116434367891844,
exp2_qwen,3b,allc,,0.41,0.399875,8000,1.0,0.399875,1.0,0.06146875,0.11486962293590722,0.06146875,78,,,0,37.54125,1600,0.9389381560628504,0.9378256674734501,0.06216923202457308,0.9999948994980232,0.9999865822794923,1600,32000,0.0,0.06146875,,,10.0,,,299.5,39,39.0,39,0.0028717405733976803,
exp2_qwen,3b,tft,,0.390625,0.4,8000,0.994625,0.4,1.0,0.06790625,0.12370450157911594,0.06790625,71,,,0,2.275625,1600,0.9425151214276396,0.932526323381531,0.06746855093638089,0.9999948743179118,0.9999833919267432,1600,32000,0.0,0.94146875,,,10.0,,,299.5,39,39.0,39,0.0030926125394778988,
exp2_qwen,3c,allc,,0.58625,0.200125,8000,1.0,0.200125,1.0,0.047968750000000004,0.07776526553312539,0.04796875,171,,,0,38.08125,1600,0.9131607332746173,0.9527792017516508,0.047214869594078404,0.9999940713457293,0.9999779301849978,1600,32000,0.0,0.04796875,,,4.98328125,,,299.5,39,39.0,39,0.0019441316383281347,
exp2_qwen,3c,tft,,0.0,0.23025,8000,0.946,0.23375,1.0,0.30571875,0.11308230806999608,0.30571875,1372,,,0,8.80375,1600,0.5762260110351332,0.6940975257038193,0.3058928624915124,0.9999903881953317,0.9999531530860282,1600,32000,0.0,0.69634375,,,4.99821875,,,299.5,39,39.0,39,0.002827057701749902,
exp2_qwen,3d,allc,,0.831875,0.4,8000,1.0,0.4,1.0,0.03434375,0.1078636608684199,0.03434375,84,,,0,38.62625,1600,0.9736904899285755,0.9658925143917553,0.034101033862500366,0.9999935482542558,0.9999819118735742,1600,32000,0.0,0.03434375,,,12.0,,,299.5,39,39.0,39,0.0026965915217104976,
exp2_qwen,3d,tft,,0.840625,0.3995,8000,0.99575,0.3995,1.0,0.03659375,0.11716691069127623,0.03659375,71,,,0,2.825,1600,0.9771412917618888,0.9632969242341183,0.03669664757316178,0.99999357180728,0.9999847221982383,1600,32000,0.0,0.92765625,,,12.0,,,299.5,39,39.0,39,0.002929172767281906,
exp2_qwen_labelswap,1,allc,,0.0,0.2,8000,0.2,0.2,1.0,0.13293750000000001,0.056949504771771284,0.1329375,325,,,0,34.6825,1600,0.8340730238088859,0.8663957146214005,0.1335957902589056,0.9999915048803063,0.9999766129028829,1600,32000,0.0,0.1329375,,,,,,260.5,,,,0.001423737619294282,
exp2_qwen_labelswap,1,tft,,0.0,0.2,8000,0.23075,0.2,1.0,0.07300000000000001,0.049330517937682346,0.073,79,,,0,3.3325,1600,0.9556707495354553,0.926021498615657,0.07397096437900168,0.9999924629946587,0.9999766129028829,1600,32000,0.0,0.886875,,,,,,260.5,,,,0.0012332629484420586,
exp2_qwen_labelswap,3b,allc,,0.0,0.2,8000,0.2,0.2,1.0,0.27496875,0.08459461580643002,0.27496875,873,,,0,29.00125,1600,0.6814494487310171,0.7266829756716038,0.27330824856488856,0.9999912242364923,0.9999811133112928,1600,32000,0.0,0.27496875,,,10.0,,,299.5,39,39.0,39,0.0021148653951607505,
exp2_qwen_labelswap,3b,tft,,0.0,0.2,8000,0.215375,0.2,1.0,0.96946875,0.12641956048585795,0.96946875,105,,,0,36.840625,1600,0.9702638345686327,0.030860782015906238,0.9691351466292256,0.9999959286451318,0.9999814221954725,1600,32000,0.0,0.07309375,,,10.0,,,299.5,39,39.0,39,0.0031604890121464486,
exp3_llama_abs,1,allc,,0.0,0.2488,10000,1.0,0.2488,1.0,0.70675,0.146805781561899,0.70675,1570,,0,0,11.73,2000,0.4944666806973907,0.285842011253383,0.6887196577075281,0.9745616689609111,0.9042459482656852,2000,40000,0.0,0.70675,,,,,,208.75,,,,0.0032826770706239137,
exp3_llama_abs,1,tft,,0.0,0.2453,10000,0.9537,0.2453,1.0,0.7423,0.17050868013095402,0.7423,1427,,0,0,26.3535,2000,0.5489536230004449,0.24523701856442184,0.7116417479125129,0.9568787664769348,0.7413752806622302,2000,40000,0.0,0.28485,,,,,,208.75,,,,0.003812689995265809,
exp3_llama_abs,3,allc,,0.0,1.0,10000,1.0,1.0,1.0,0.7162,0.12132625437225036,0.7162,1820,,0,0,11.352,2000,0.4360962740441081,0.28145470459564825,0.7131321754524074,0.9945868800480557,0.9790035107263364,2000,40000,0.0,0.7162,,,3.0,,,242.75,34,34.0,34,0.0027129375223178286,
exp3_llama_abs,3,tft,,0.0,0.9996,10000,0.9996,1.0,1.0,0.5987,0.11682598169927783,0.5987,1988,,0,0,19.3285,2000,0.26836821376916603,0.4020400479026609,0.5885772531048478,0.9906173010075087,0.9404552043057335,2000,40000,0.0,0.40995,,,3.0,,,242.75,34,34.0,34,0.002612308366177316,
exp3_llama_abs,3b,allc,,0.0,0.2,10000,1.0,0.2,1.0,0.7134,0.15939084038927706,0.7134,1584,,0,0,11.464,2000,0.46836305227864033,0.2650553876451066,0.6624291751546676,0.9274845627997742,0.715098843781629,2000,40000,0.0,0.7134,,,5.0,,,242.75,34,34.0,34,0.0035640875410124255,
exp3_llama_abs,3b,tft,,0.0,0.2,10000,0.9753,0.2,1.0,0.7715,0.16434795404871944,0.7715,1344,,0,0,27.654,2000,0.5288411006054973,0.20153497308283758,0.6822965957205255,0.8838315688033632,0.34018084478108257,2000,40000,0.0,0.2559,,,5.0,,,242.75,34,34.0,34,0.003674931972159484,
exp3_llama_abs,3c,allc,,0.0,0.2,10000,1.0,0.2,1.0,0.716525,0.12442135819464438,0.716525,1818,0.05,40000,0,11.339,2000,0.4370675089740457,0.2810527560868956,0.7135786819961312,0.9946314380830268,0.9784549911094418,2000,40000,0.0,0.716525,,,3.0,,,242.75,34,34.0,34,0.0027821461477607534,
exp3_llama_abs,3c,tft,,0.0,0.2328,10000,0.8083,0.248,1.0,0.57795,0.1505117852528499,0.57795,1988,0.05,40000,0,18.808,2000,0.28983052417800315,0.41819915824373327,0.5724963592649974,0.9906955175087307,0.9360802154293482,2000,40000,0.0,0.426,,,3.0,,,242.75,34,34.0,34,0.003365545832402227,
exp3_llama_abs,3d,allc,,0.0,0.0,10000,0.8,0.2,1.0,0.59805,0.1625075305947389,0.59805,1924,,0,0,16.078,2000,0.2807629006629051,0.37883133015008896,0.577628102842186,0.9564594329922751,0.8750263374106072,2000,40000,0.0,0.59805,,,7.0,,,242.75,34,34.0,34,0.00363377885265463,
exp3_llama_abs,3d,tft,,0.0,0.0,10000,0.6756,0.2,1.0,0.650775,0.1680272280762853,0.650775,1871,,0,0,22.307,2000,0.3297528655940132,0.32137210222977064,0.6036264335944774,0.9249985358242482,0.6654889311154994,2000,40000,0.0,0.358025,,,7.0,,,242.75,34,34.0,34,0.0037572030404943516,
exp3_llama_sem,1,allc,,0.018,0.2,10000,0.9967,0.2,1.0,0.27915,0.22335571964917308,0.27915,1410,,0,0,28.834,2000,0.558463921986169,0.718181982039687,0.2807966718294553,0.9989786538691422,0.9967755375684572,2000,40000,0.0,0.27915,,,,,,256.75,,,,0.004994385722989365,
exp3_llama_sem,1,tft,,0.017,0.2,10000,0.9816,0.2,1.0,0.312625,0.23828944453122552,0.312625,1500,,0,0,10.022,2000,0.5335277434119632,0.6847244941040551,0.31429754774323576,0.9990220418472909,0.9967448812226318,2000,40000,0.0,0.684625,,,,,,256.75,,,,0.005328313962924857,
exp3_llama_sem,3,allc,,0.296,1.0,10000,1.0,1.0,1.0,0.085,0.10380269746013347,0.085,581,,0,0,36.6,2000,0.8342627238487652,0.9159098449297748,0.08379709248557142,0.9997069374153461,0.9989283101779647,2000,40000,0.0,0.085,,,2.05,,,290.75,34,34.0,34,0.002321098877687032,
exp3_llama_sem,3,tft,,0.292,1.0,10000,1.0,1.0,1.0,0.09985000000000001,0.12187074095122258,0.09985,649,,0,0,4.0415,2000,0.8078678343610646,0.9003642121413106,0.0993329841369407,0.9996971962782513,0.9991774271234435,2000,40000,0.0,0.866,,,2.05,,,290.75,34,34.0,34,0.0027251126123520107,
exp3_llama_sem,3b,allc,,0.2775,0.2,10000,1.0,0.2,1.0,0.098525,0.1384343684747397,0.098525,601,,0,0,36.059,2000,0.8192342826536991,0.9014238578637007,0.09794058115245234,0.9993644390161529,0.9980500923802984,2000,40000,0.0,0.098525,,,5.0,,,290.75,34,34.0,34,0.003095486583317718,
exp3_llama_sem,3b,tft,,0.2845,0.2,10000,0.9888,0.2,1.0,0.12052500000000001,0.16824082255802247,0.120525,690,,0,0,4.592,2000,0.7873608884101202,0.8782777506326395,0.12107406199160371,0.999351812624243,0.9984598261504518,2000,40000,0.0,0.850325,,,5.0,,,290.75,34,34.0,34,0.003761979158302183,
exp3_llama_sem,3c,allc,,0.2145,0.2,10000,1.0,0.2,1.0,0.09725,0.1056524372648355,0.09725,661,0.05,40000,0,36.11,2000,0.8100346035401973,0.9037702801486941,0.09591299307758415,0.9996832732262781,0.9989755823454888,2000,40000,0.0,0.09725,,,2.05,,,290.75,34,34.0,34,0.002362460317127041,
exp3_llama_sem,3c,tft,,0.1685,0.2199,10000,0.8239,0.2434,1.0,0.1242,0.12925501924490204,0.1242,833,0.05,40000,0,4.6115,2000,0.7593236356790888,0.8755479985759895,0.12410862238706266,0.9996566209630522,0.9990924801361325,2000,40000,0.0,0.8436,,,2.05,,,290.75,34,34.0,34,0.002890230094646445,
exp3_llama_sem,3d,allc,,0.081,0.0,10000,0.8,0.2,0.9999,0.198375,0.1840138836474031,0.198375,1182,,0,0,32.065,2000,0.6349270102747577,0.8010711740541151,0.1976313691506009,0.998702543204716,0.9969612220040096,2000,40000,0.0,0.198375,,,7.0,,,290.75,34,34.0,34,0.004114675526393302,
exp3_llama_sem,3d,tft,,0.089,0.0,10000,0.7707,0.2,0.9999,0.24895,0.21906938969194215,0.24895,1324,,0,0,8.116,2000,0.5753923966390768,0.7484218952573396,0.25024707622344095,0.9986689714807804,0.9970475326915914,2000,40000,0.0,0.7355,,,7.0,,,290.75,34,34.0,34,0.004898540471405743,
exp3_llama_swap,1,allc,,0.0005,0.2,10000,0.2,0.2,1.0,0.21175,0.11223607931498676,0.21175,815,,0,0,31.53,2000,0.7186368352941327,0.7860248556592184,0.2131988442091329,0.9992236998683512,0.9973789082955659,2000,40000,0.0,0.21175,,,,,,256.75,,,,0.002509675028763684,
exp3_llama_swap,1,tft,,0.0,0.2,10000,0.2484,0.2,1.0,0.4969,0.31876776813222507,0.4969,1355,,0,0,17.3645,2000,0.5708898652611678,0.5042015523778479,0.4948885237389403,0.9990900761167882,0.9973937954610164,2000,40000,0.0,0.49095,,,,,,256.75,,,,0.007127863985795464,
exp3_llama_swap,3,allc,,0.0,0.2,10000,0.2,1.0,1.0,0.401,0.2079519175194112,0.401,1578,,0,0,23.96,2000,0.5023664960864238,0.6001265214016946,0.3994281141076821,0.9995546355093767,0.9992162249094143,2000,40000,0.0,0.401,,,2.05,,,290.75,34,34.0,34,0.0046499462362483285,
exp3_llama_swap,3,tft,,0.0005,0.2,10000,0.2,1.0,1.0,0.772325,0.26695569740127295,0.772325,996,,0,0,27.919,2000,0.7006517610373529,0.22716787601720326,0.7724887103894001,0.9996565864066033,0.9992606336345305,2000,40000,0.0,0.249625,,,2.05,,,290.75,34,34.0,34,0.005969310863701102,
exp3_llama_swap,3b,allc,,0.0005,0.2,10000,0.2,0.2,1.0,0.334025,0.18031513906214308,0.334025,1381,,0,0,26.639,2000,0.5648394813436151,0.6647386988974373,0.3345087443252838,0.9992474432227211,0.9978721788310505,2000,40000,0.0,0.334025,,,5.0,,,290.75,34,34.0,34,0.004031969083152796,
exp3_llama_swap,3b,tft,,0.0005,0.2,10000,0.2145,0.2,1.0,0.739125,0.2983043485687059,0.739125,971,,0,0,26.7035,2000,0.6927293917683774,0.26484848786335924,0.7345746875877425,0.9994231754511016,0.9984615902280023,2000,40000,0.0,0.277775,,,5.0,,,290.75,34,34.0,34,0.006670288013834185,
exp3_llama_swap,3c,allc,,0.0005,0.2,10000,0.2,0.2,1.0,0.378975,0.19837262758505772,0.378975,1549,0.05,40000,0,24.841,2000,0.510129554306104,0.6212411147451601,0.3783072371885281,0.9995483519336882,0.9991925063459897,2000,40000,0.0,0.378975,,,2.05,,,290.75,34,34.0,34,0.00443574680155439,
exp3_llama_swap,3c,tft,,0.0,0.208,10000,0.4869,0.2152,1.0,0.75225,0.27434000346285625,0.75225,1048,0.05,40000,0,27.0745,2000,0.6814005845104648,0.2475627423879058,0.7520731041195315,0.9996358465074374,0.999189360392229,2000,40000,0.0,0.26665,,,2.05,,,290.75,34,34.0,34,0.006134428966904743,
exp3_llama_swap,3d,allc,,0.0005,0.0,10000,0.0,0.2,1.0,0.284175,0.16768517935405025,0.284175,1294,,0,0,28.633,2000,0.5752331061323662,0.7149293540996321,0.28403477046714326,0.9989641245667753,0.9964543437390803,2000,40000,0.0,0.284175,,,7.0,,,290.75,34,34.0,34,0.0037495545985490064,
exp3_llama_swap,3d,tft,,0.0005,0.0,10000,0.078,0.2,1.0,0.553025,0.29898511564123054,0.553025,1495,,0,0,19.09,2000,0.5163186825703078,0.44317831940695684,0.5556998349295798,0.9988781543365367,0.9972336397200057,2000,40000,0.0,0.441925,,,7.0,,,290.75,34,34.0,34,0.006685510428344271,
exp3_mistral_abs,1,allc,,0.0,0.2065,10000,1.0,0.2065,0.9729,0.8215,0.0809027193609708,0.8215,327,,0,0,7.14,2000,0.16152331597348285,0.004253286080512207,0.16308350776739147,0.16733679384790368,0.005429719558977277,2000,40000,0.4416,0.8215,,,,,,250.6,,,,0.0018090398005571906,
exp3_mistral_abs,1,tft,,0.0,0.2392,10000,0.805,0.24,0.981,0.769775,0.11228401210769055,0.769775,453,,0,0,27.4135,2000,0.11562009916499258,0.005803809670220865,0.11687771178094772,0.1226815214511686,0.005519742526303555,2000,40000,0.556,0.279175,,,,,,250.6,,,,0.002510746838592055,
exp3_mistral_abs,3,allc,,0.0,1.0,10000,1.0,1.0,1.0,0.8464,0.05851956937640603,0.8464,325,,0,0,6.144,2000,0.01733592993540326,0.0014465842882570555,0.018170419768751386,0.019617004057008443,0.002214457659846224,2000,40000,0.99995,0.8464,,,6.433,,,295.6,45,45.0,45,0.0013085373513965885,
exp3_mistral_abs,3,tft,,0.0,0.9964,10000,0.9964,1.0,1.0,0.60555,0.06392728290800415,0.60555,1496,,0,0,18.619,2000,0.006934283691012112,0.003392496956816213,0.0074986775670084285,0.010891174523824642,0.0015860908038590994,2000,40000,0.999975,0.4306,,,5.949475,,,295.6,45,45.0,45,0.001429457501991577,
exp3_mistral_abs,3b,allc,,0.0,0.0,10000,1.0,0.0,0.9953,0.838575,0.07650633552196838,0.838575,79,,0,0,6.457,2000,0.04675261829172127,0.0006782811965640056,0.0467859516113988,0.0474642328079628,0.0018805793223525434,2000,40000,0.83285,0.838575,,,13.0,,,295.6,45,45.0,45,0.0017107336693652814,
exp3_mistral_abs,3b,tft,,0.0,0.0012,10000,0.945,0.0012,0.9982,0.8321500000000001,0.07788695333622957,0.83215,148,,0,0,30.888,2000,0.025842602744596117,0.0006536845156698092,0.025893666124385976,0.026547350640055783,0.0010874961506991078,2000,40000,0.9772,0.21785,,,13.0,,,295.6,45,45.0,45,0.0017416052222016334,
exp3_mistral_abs,3c,allc,,0.0,0.2,10000,1.0,0.2,1.0,0.848975,0.05811797807047316,0.848975,366,0.1,40000,0,6.041,2000,0.01770130325552264,0.0014312212904439622,0.018520467380789045,0.019951688671233005,0.002512667461715421,2000,40000,0.9999,0.848975,,,6.43895,,,295.6,45,45.0,45,0.0012995574968042004,
exp3_mistral_abs,3c,tft,,0.0,0.2319,10000,0.888,0.2443,1.0,0.624825,0.11744134440221637,0.624825,1755,0.1,40000,0,19.9665,2000,0.008603244283422084,0.003683559948497412,0.009269773371259935,0.012953333319757345,0.0019839818548231464,2000,40000,0.998775,0.411925,,,5.94235,,,295.6,45,45.0,45,0.002626068294523202,
exp3_mistral_abs,3d,allc,,0.0,0.2002,10000,1.0,0.2002,0.9999,0.936225,0.025278436957217088,0.936225,31,,0,0,2.551,2000,0.2975966710243575,0.0010250407909040088,0.29842719826648195,0.29945223905738594,0.0019317414413962358,2000,40000,0.19765,0.936225,,,11.0,,,295.6,45,45.0,45,0.0005652430340128035,
exp3_mistral_abs,3d,tft,,0.0,0.3729,10000,0.9804,0.3734,0.8179,0.932025,0.029421919974739898,0.932025,50,,0,0,35.1035,2000,0.3110293035889947,0.001277389756076137,0.3121121709441497,0.3133895607002259,0.0019317414413962358,2000,40000,0.200625,0.117975,,,11.0,,,295.6,45,45.0,45,0.000657894130920773,
exp3_mistral_sem,1,allc,,0.9975,0.4,10000,1.0,0.4,0.9998,0.000125,0.0024968730444297725,0.000125,5,,0,0,39.995,2000,0.9298794214634684,0.9299750202622242,9.559879875605097e-05,0.9300706190609804,0.8701223187181664,2000,40000,0.0,0.000125,,,,,,298.599025,,,,5.5831778585318235e-05,
exp3_mistral_sem,1,tft,,0.999,0.4,10000,0.9999,0.4,1.0,5e-05,0.0015803480629279108,5e-05,3,,0,0,2.001,2000,0.9299046056605892,0.9299995447742887,9.493911369961424e-05,0.9300944838879883,0.8049509190079408,2000,40000,0.0,0.94995,,,,,,298.59905,,,,3.5337656968169235e-05,
